
Episode:347, Reward: -3168.755673
Episode:348, Reward: -3061.190010
Episode:349, Reward: -3189.066626
Episode:350, Reward: -3151.274785
Episode:351, Reward: -3045.417076
Episode:352, Reward: -3262.225396
Episode:353, Reward: -3065.780932
Episode:354, Reward: -3111.071101
Episode:355, Reward: -2961.813675
Episode:356, Reward: -3181.504232
Episode:357, Reward: -3031.509195
Episode:358, Reward: -3385.902587
Episode:359, Reward: -2986.663709
Episode:360, Reward: -3114.801729
Episode:361, Reward: -3053.428024
Episode:362, Reward: -3228.044586
Episode:363, Reward: -3067.843409
Episode:364, Reward: -3107.984564
Episode:365, Reward: -3169.531336
Episode:366, Reward: -3032.211540
Episode:367, Reward: -3109.969028
Episode:368, Reward: -3073.336687
Episode:369, Reward: -3265.756469
Episode:370, Reward: -3129.556527
Episode:371, Reward: -3209.162740
Episode:372, Reward: -3181.803149
Episode:373, Reward: -3075.478009
Episode:374, Reward: -3149.653254
Episode:375, Reward: -3267.623645
Episode:376, Reward: -3232.885816
Episode:377, Reward: -3144.301258
Episode:378, Reward: -3067.081219
Episode:379, Reward: -2999.759527
Episode:380, Reward: -3171.818212
Episode:381, Reward: -3010.535221
Episode:382, Reward: -3175.806646
Episode:383, Reward: -3144.281035
Episode:384, Reward: -3225.540735
Episode:385, Reward: -3062.394108
Episode:386, Reward: -3166.079222
Episode:387, Reward: -3105.857229
Episode:388, Reward: -3116.060149
Episode:389, Reward: -3193.145843
Episode:390, Reward: -3170.148942
Episode:391, Reward: -3200.799280
Episode:392, Reward: -3240.261191
Episode:393, Reward: -3105.146990
Episode:394, Reward: -3185.174763
Episode:395, Reward: -3095.189971
Episode:396, Reward: -3117.609425
Episode:397, Reward: -3127.110012
Episode:398, Reward: -3134.140895
Episode:399, Reward: -3100.740861
Episode:400, Reward: -3157.811068
Episode:401, Reward: -3188.237525
Episode:402, Reward: -3177.208107
Episode:403, Reward: -3118.722874
Episode:404, Reward: -3134.136488
Episode:405, Reward: -3169.831527
Episode:406, Reward: -3048.819224
Episode:407, Reward: -3129.242985
Episode:408, Reward: -3202.983625
Episode:409, Reward: -3118.877860
Episode:410, Reward: -3157.582564
Episode:411, Reward: -3081.540758
Episode:412, Reward: -3157.162903
Episode:413, Reward: -3055.280226
